average,label,anomaly
19.315670262390288,normal,non_anomaly
21.675779522905323,normal,non_anomaly
18.46600682407369,normal,non_anomaly
19.094691070200398,normal,non_anomaly
17.592004887878776,normal,non_anomaly
16.96523653588025,normal,non_anomaly
15.253253347510505,normal,non_anomaly
18.231838598522735,normal,non_anomaly
27.189861614283856,normal,non_anomaly
14.514832095669908,normal,non_anomaly
20.42472400879443,normal,non_anomaly
19.488873951440652,normal,non_anomaly
17.33634913846546,normal,non_anomaly
19.326737858235454,normal,non_anomaly
17.908808852274152,normal,non_anomaly
18.920266285689124,normal,non_anomaly
15.693836776144032,normal,non_anomaly
15.451719139066027,normal,non_anomaly
18.12270584807166,normal,non_anomaly
14.761801535660796,normal,non_anomaly
15.458173649921724,normal,non_anomaly
19.393663244952094,normal,non_anomaly
16.378431632403775,normal,non_anomaly
16.749499618675035,normal,non_anomaly
18.819004369063595,normal,non_anomaly
14.861205347736972,normal,non_anomaly
18.69293202530974,normal,non_anomaly
14.689712735725738,normal,non_anomaly
16.03755780311213,normal,non_anomaly
17.343295540098616,normal,non_anomaly
18.199276569698682,normal,non_anomaly
16.26521470320741,normal,non_anomaly
15.094518241095438,normal,non_anomaly
14.64904650284245,normal,non_anomaly
16.720011395768022,normal,non_anomaly
15.732417553484549,normal,non_anomaly
14.677518489992838,normal,non_anomaly
17.897502077169012,normal,non_anomaly
15.56600934285068,normal,non_anomaly
19.071536487445474,normal,non_anomaly
19.60054184419674,normal,non_anomaly
14.580092816135405,normal,non_anomaly
15.801815984159052,normal,non_anomaly
18.146483217870102,normal,non_anomaly
14.46521374641362,normal,non_anomaly
15.128624221651844,normal,non_anomaly
16.79581129667119,normal,non_anomaly
15.085723179094819,normal,non_anomaly
15.027418219738239,normal,non_anomaly
17.953838893487163,normal,non_anomaly
17.574686367478595,normal,non_anomaly
15.601032104080835,normal,non_anomaly
16.864278326867133,normal,non_anomaly
16.897520753106075,normal,non_anomaly
15.075834522460186,normal,non_anomaly
15.214789976230442,normal,non_anomaly
19.1415780749015,normal,non_anomaly
19.965584855534537,normal,non_anomaly
16.448874544309234,normal,non_anomaly
17.155071448030913,normal,non_anomaly
15.346239041941649,normal,non_anomaly
19.16815604761678,normal,non_anomaly
19.052928362509945,normal,non_anomaly
18.1617978974391,normal,non_anomaly
16.12066452541975,normal,non_anomaly
15.237758878096866,normal,non_anomaly
