position_fiber,location_name
5650,quiet
5660,quiet
5670,quiet
5680,quiet
5690,quiet
5700,quiet
5710,quiet
5720,quiet
5730,quiet
5740,quiet
5750,quiet
5760,quiet
5770,quiet
5780,quiet
5790,quiet
5800,quiet
5810,quiet
5820,quiet
5830,quiet
5840,quiet
5850,quiet
5860,quiet
5870,quiet
5880,quiet
5890,quiet
5900,quiet
5910,quiet
5920,quiet
5930,quiet
5940,quiet
5950,quiet
5960,quiet
5970,quiet
5980,quiet
5990,quiet
6000,quiet
6010,quiet
6020,quiet
6030,quiet
6040,quiet
6050,quiet
6060,quiet
6070,quiet
6080,quiet
6090,quiet
6100,quiet
6110,quiet
6120,quiet
6130,quiet
6140,quiet
6150,quiet
6160,quiet
6170,quiet
6180,quiet
6190,quiet
6200,quiet
6210,quiet
6220,quiet
6230,quiet
6240,quiet
6250,quiet
6260,quiet
6270,quiet
6280,quiet
6290,quiet
6300,quiet
6310,quiet
6320,quiet
6330,quiet
6340,quiet
6350,quiet
6360,quiet
6370,quiet
6380,quiet
6390,quiet
6400,quiet
6410,quiet
6420,quiet
6430,quiet
6440,quiet
6450,quiet
6460,quiet
6470,quiet
6480,quiet
6490,quiet
6500,quiet
6510,quiet
6520,quiet
6530,quiet
6540,quiet
6550,quiet
6560,quiet
6570,quiet
6580,quiet
6590,quiet
6600,quiet
6610,quiet
6620,quiet
6630,quiet
6640,quiet
6650,quiet
6660,quiet
6670,quiet
6680,quiet
6690,quiet
6700,quiet
6710,quiet
6720,quiet
6730,quiet
6740,quiet
6750,quiet
6760,quiet
6770,quiet
6780,quiet
6790,quiet
6800,quiet
6810,quiet
6820,quiet
6830,quiet
6840,quiet
6850,quiet
6860,quiet
6870,quiet
6880,quiet
6890,quiet
6900,end_of_pipeline
6910,end_of_pipeline
6920,end_of_pipeline
6930,end_of_pipeline
6940,end_of_pipeline
6950,end_of_pipeline
6960,end_of_pipeline
6970,end_of_pipeline
6980,end_of_pipeline
6990,end_of_pipeline
7000,end_of_pipeline
